Designator,Mid X,Mid Y,Layer,Rotation
HV_IN,64.74,55.75,Top,180.0
HV_OUT,81.68,55.75,Top,180.0
IN,20.68,51.04,Top,180.0
OUT1,85.34,10.06,Top,0.0
OUT2,71.10,10.06,Top,0.0
OUT3,56.86,10.06,Top,0.0
OUT4,42.62,10.06,Top,0.0
OUT5,28.38,10.06,Top,0.0
OUT6,14.14,10.06,Top,0.0
Q1,84.50,37.50,Top,180.0
Q2,56.00,37.50,Top,180.0
Q3,27.50,37.50,Top,180.0
Q4,70.00,37.50,Top,180.0
Q5,41.50,37.50,Top,180.0
Q6,13.00,37.50,Top,180.0
R1,89.40,36.40,Top,180.0
R2,89.88,22.13,Top,270.0
R3,80.99,24.67,Top,270.0
R4,75.20,36.40,Top,180.0
R5,75.64,22.13,Top,270.0
R6,66.75,24.67,Top,270.0
R7,61.00,36.40,Top,180.0
R8,61.40,22.13,Top,270.0
R9,52.51,24.67,Top,270.0
R10,46.70,36.40,Top,180.0
R11,47.16,22.13,Top,270.0
R12,38.27,24.67,Top,270.0
R13,32.50,36.40,Top,180.0
R14,32.92,22.13,Top,270.0
R15,24.03,24.67,Top,270.0
R16,18.20,36.60,Top,180.0
R17,18.68,22.13,Top,270.0
R18, 9.79,24.67,Top,270.0
R19,81.00,37.50,Top,90.0
R20,52.50,37.50,Top,90.0
R21,24.00,37.50,Top,90.0
R22,66.50,37.50,Top,90.0
R23,38.00,37.50,Top,90.0
R24, 9.50,37.50,Top,90.0
U1,86.07,29.75,Top,180.0
U2,83.53,18.32,Top,0.0
U3,71.83,29.75,Top,180.0
U4,69.29,18.32,Top,0.0
U5,57.59,29.75,Top,180.0
U6,55.05,18.32,Top,0.0
U7,43.35,29.75,Top,180.0
U8,40.81,18.32,Top,0.0
U9,29.11,29.75,Top,180.0
U10,26.57,18.32,Top,0.0
U11,14.87,29.75,Top,180.0
U12,12.33,18.32,Top,0.0
